male,supplemental_o2_duration,hospital_stay,sga,m24_ec_ss,m24_cong_ss,m24_rc_ss,m24_fm_ss,m24_gm_ss,m_chat_r
0.022764066867056863,0.004946474713916511,0.0057243052259663375,-0.005792859779570676,-0.1068369983652375,-0.000904392764857871,0.0013354954384854768,-0.012885619364024676,0.005409217950746201,-0.016749723145072018
-0.01361598903127142,-0.004345304013078112,-0.004206876549069269,-0.003311712281811948,-0.0172019195275009,-0.013082054527237236,-0.01662711596266413,-0.010396561725465388,-0.0010586405104677545,-0.019143859094025203
0.021764752412592892,-0.0153469915097822,-0.0197951273532669,-0.007181089490059565,-0.014826240573748851,-0.015072773295364612,-0.010227812055054592,-0.0010889627168696942,-0.019240099140431375,-0.021975689500606452
-0.025290038496018564,-0.0021594684385382035,-5.4052628803492345e-05,-0.004860781521911073,-0.036670094394346875,-0.008716975162157883,-0.0027342720033749694,-0.007746664557295797,-0.0003783684016242167,-0.014379317618520293
-0.015379950429784291,-0.055728260296366565,0.004293888097874768,-0.004391446501081044,-0.01661129568106316,0.00835838211253494,-0.0043479407266782755,-0.004748721193903923,0.00951326266940885,-0.02394795127353265
-0.032763803195696835,-0.011892896693561153,-0.011187575805516058,-0.006856773717238831,0.014062911986500013,-0.016019353477825217,-0.007570004746084483,-0.0018522913041185657,0.0033829035490164977,-0.03229314981806672
0.017969203185150003,-0.00225966355534466,0.0007791488688498317,-0.010333280599061316,-0.07825634129620843,-0.016412223804250357,-0.00023466751041499302,0.004982070347518857,0.009453936613405076,-0.02867821547223537
0.009232452670990864,-0.0003032220640194278,-0.0025562938353636123,-0.003257659653008472,-0.028766545377841065,-0.01701734957548907,-0.009707061119021228,-0.027841058904181832,-0.0018430628065179457,-0.02093023255813957
-0.12694853135052486,-0.002370405526551606,-0.0046577545746981424,0.1131466540104413,0.06113615989031279,-0.040022675736961374,-0.07374887939671988,-0.02412988451194436,0.009641143279017064,-0.01503585930496229
-0.03095765437958128,-0.003153509465801823,-0.007599008595686376,-0.023710647049517447,0.021566998892580274,-0.002743500500975585,-0.002231978062542833,-0.020630965564520393,-0.00545404208194905,-0.028075726414596852
0.014803828508147415,0.0030229921425934327,-0.00586668776037548,-0.0033354427042134624,-0.07534672783842222,-0.007514633760480902,0.0016228972209038873,-0.005233876496334948,0.009360333280599077,-0.03450271581500815
-0.021777935980593757,-0.01144465538153245,-0.00027685492801773833,-0.011536940357538364,-0.017358803986710993,-0.0004179191056267299,0.0007224595264462343,-0.017636977271528766,-0.0031218689025998177,-0.020140536834888978
0.01901993355481724,-0.00889231661656914,-0.002829193692981088,-0.009819121447028402,-0.00972683647102254,-0.008647102251753375,0.0023624953857512222,-0.05440726678268204,-0.008538996994146508,-0.02151162790697672
-0.20058666877603784,-0.005096767389126051,0.017122818119495863,-0.028505510731424318,0.03842350893845928,0.06655987976586007,0.04478194378526617,-0.0924748193851188,-0.050823973000052876,0.10760955545008712
